name,price
FAMAS | Roll Cage (Battle-Scarred),3.65
M249 | Jungle (Field-Tested),0.81
AK-47 | Orbit Mk01 (Field-Tested),9.99
StatTrak™ PP-Bizon | Fuel Rod (Field-Tested),1.99
★ Moto Gloves | Turtle (Field-Tested),226.13
AUG | Aristocrat (Factory New),1.88
★ Flip Knife | Scorched (Well-Worn),112.96
USP-S | Cortex (Battle-Scarred),2.62
Brigadier General Pin,17.88
SSG 08 | Death's Head (Factory New),7.62
Operator | FBI SWAT,1.5
Death Sentence Pin,4.57
1st Lieutenant Farlow | SWAT,2.34
Office Pin,8.05
"Music Kit | Scarlxrd: King, Scar",4.08
StatTrak™ P90 | Freight (Battle-Scarred),0.14
Souvenir Five-SeveN | Contractor (Field-Tested),0.27
StatTrak™ Five-SeveN | Fairy Tale (Field-Tested),8.52
StatTrak™ AK-47 | Blue Laminate (Minimal Wear),23.31
MAC-10 | Neon Rider (Factory New),11.62
Souvenir Glock-18 | Reactor (Battle-Scarred),10.25
AK-47 | Aquamarine Revenge (Battle-Scarred),18.27
AK-47 | Wasteland Rebel (Field-Tested),26.45
Chroma Pin,17.0
Wildfire Pin,6.66
Hydra Pin,6.86
Inferno 2 Pin,4.97
Bravo Pin,6.06
Black Mesa Pin,5.78
MP9 | Bulldozer (Field-Tested),37.52
StatTrak™ Glock-18 | Bullet Queen (Field-Tested),53.25
UMP-45 | Crime Scene (Minimal Wear),31.39
CS20 Case Key,7.85
Poorly Drawn Capsule,0.88
Clutch Case,0.2
P250 | Cartel (Well-Worn),5.94
Sticker | TYLOO (Foil) | 2020 RMR,2.5
Snakebite Case,0.63
P90 | Asiimov (Well-Worn),7.91
FAMAS | Pulse (Factory New),6.26
Sustenance! Pin,8.05
MP9 | Hypnotic (Factory New),9.37
SG 553 | Ultraviolet (Minimal Wear),14.31
P2000 | Imperial Dragon (Factory New),6.77
Sticker | gla1ve (Gold) | Berlin 2019,27.1
Galil AR | Chromatic Aberration (Field-Tested),4.15
P250 | Boreal Forest (Factory New),0.17
MAC-10 | Graven (Battle-Scarred),20.45
Galil AR | Tornado (Field-Tested),1.35
Desert Eagle | Meteorite (Minimal Wear),1.2
SG 553 | Damascus Steel (Field-Tested),0.89
